patient,feature_set,seed,arm,recipient,target_donor,control_donor,target_pixel_rms,control_pixel_rms,relative_amplitude_mismatch,other_tissue_drift,control_tissue_drift,numerical_checks_pass,observed_fraction_change,predicted_fraction_change,change_absolute_error
TCGA-A1-A0SP,rgb,11,target,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,-0.01003265380859375,-0.0033282041549682617,0.006704449653625488
TCGA-A1-A0SP,rgb,11,control,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,0.0012720281956717372,-0.001055791974067688,0.002327820169739425
TCGA-A1-A0SP,rgb,11,target,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.01108828466385603,-0.0007330775260925293,0.0103552071377635
TCGA-A1-A0SP,rgb,11,control,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.0012505271006375551,0.0014775097370147705,0.0027280368376523256
TCGA-A1-A0SP,rgb,11,target,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.010171369649469852,-0.0005234628915786743,0.009647906757891178
TCGA-A1-A0SP,rgb,11,control,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.0009474320686422288,0.001359015703201294,0.002306447771843523
TCGA-A1-A0SP,rgb,23,target,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,-0.01003265380859375,-0.01000089943408966,3.1754374504089355e-05
TCGA-A1-A0SP,rgb,23,control,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,0.0012720281956717372,-0.004914030432701111,0.006186058628372848
TCGA-A1-A0SP,rgb,23,target,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.01108828466385603,-0.005073845386505127,0.0060144392773509026
TCGA-A1-A0SP,rgb,23,control,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.0012505271006375551,0.002693548798561096,0.003944075899198651
TCGA-A1-A0SP,rgb,23,target,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.010171369649469852,-0.004716306924819946,0.005455062724649906
TCGA-A1-A0SP,rgb,23,control,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.0009474320686422288,0.001777350902557373,0.002724782971199602
TCGA-A1-A0SP,rgb,37,target,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,-0.01003265380859375,-0.004196822643280029,0.005835831165313721
TCGA-A1-A0SP,rgb,37,control,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,0.0012720281956717372,-0.002081751823425293,0.00335378001909703
TCGA-A1-A0SP,rgb,37,target,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.01108828466385603,-0.0018126368522644043,0.009275647811591625
TCGA-A1-A0SP,rgb,37,control,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.0012505271006375551,0.0009336173534393311,0.002184144454076886
