architecture,seed,validation_accuracy
GCN,11,0.4285714328289032
GCN,23,0.2857142984867096
GCN,37,0.2857142984867096
GCN,53,0.4285714328289032
GCN,71,0.2857142984867096
GraphSAGE,11,0.2857142984867096
GraphSAGE,23,0.2857142984867096
GraphSAGE,37,0.2857142984867096
GraphSAGE,53,0.4285714328289032
GraphSAGE,71,0.2857142984867096
GATv2,11,0.2857142984867096
GATv2,23,0.2857142984867096
GATv2,37,0.4285714328289032
GATv2,53,0.2857142984867096
GATv2,71,0.2857142984867096
