architecture,patient,factor,repeat,probability_IC_change
GCN,106,0.95,3,-0.00021791458129882812
GCN,106,0.95,4,0.029149353504180908
GCN,106,0.95,5,0.0019683837890625
GCN,106,0.95,6,0.020772457122802734
GCN,106,0.95,7,-0.01644986867904663
GCN,106,0.95,8,0.02351224422454834
GCN,106,0.95,9,0.019125938415527344
GCN,106,0.95,10,-0.0024595260620117188
GCN,106,0.95,11,-0.0038982629776000977
GCN,106,0.95,12,-0.0014295578002929688
GCN,106,0.95,13,0.024982929229736328
GCN,106,0.95,14,-0.0005301237106323242
GCN,106,0.95,15,-0.002912163734436035
GCN,106,0.95,16,0.0031719207763671875
GCN,106,0.95,17,-0.01235508918762207
GCN,106,0.95,18,-0.0021332502365112305
GCN,106,0.95,19,-0.009122729301452637
GCN,106,1.05,0,-0.022423863410949707
GCN,106,1.05,1,0.005827784538269043
GCN,106,1.05,2,0.002829134464263916
GCN,106,1.05,3,-0.010395228862762451
GCN,106,1.05,4,0.007083892822265625
GCN,106,1.05,5,-0.003635108470916748
GCN,106,1.05,6,-0.015282750129699707
GCN,106,1.05,7,0.0028911828994750977
GCN,106,1.05,8,-0.01332080364227295
GCN,106,1.05,9,0.00701296329498291
GCN,106,1.05,10,-0.023488879203796387
GCN,106,1.05,11,-0.00618356466293335
GCN,106,1.05,12,-0.0038456320762634277
GCN,106,1.05,13,-0.0235443115234375
GCN,106,1.05,14,-0.00970304012298584
GCN,106,1.05,15,-0.0089186429977417
GCN,106,1.05,16,0.007474780082702637
GCN,106,1.05,17,0.021044373512268066
GCN,106,1.05,18,0.00162583589553833
GCN,106,1.05,19,-0.016680419445037842
GCN,118,0.95,0,-0.01962488889694214
GCN,118,0.95,1,-0.00198519229888916
GCN,118,0.95,2,0.0015232563018798828
GCN,118,0.95,3,0.003491342067718506
GCN,118,0.95,4,-0.0011152029037475586
GCN,118,0.95,5,-0.002057015895843506
GCN,118,0.95,6,-0.003091156482696533
GCN,118,0.95,7,0.008574187755584717
GCN,118,0.95,8,0.013644099235534668
GCN,118,0.95,9,-0.02620244026184082
GCN,118,0.95,10,-0.011886060237884521
GCN,118,0.95,11,0.009010374546051025
GCN,118,0.95,12,0.004713594913482666
GCN,118,0.95,13,-0.001001894474029541
GCN,118,0.95,14,0.019083380699157715
GCN,118,0.95,15,-0.006808936595916748
GCN,118,0.95,16,0.01983565092086792
GCN,118,0.95,17,-0.0174596905708313
GCN,118,0.95,18,-0.00800466537475586
GCN,118,0.95,19,-0.0019776225090026855
GCN,118,1.05,0,0.010040581226348877
GCN,118,1.05,1,0.007553577423095703
GCN,118,1.05,2,-0.009370744228363037
GCN,118,1.05,3,-0.0031308531761169434
GCN,118,1.05,4,0.0027048587799072266
GCN,118,1.05,5,-0.009627044200897217
GCN,118,1.05,6,0.011211812496185303
GCN,118,1.05,7,-0.007968544960021973
GCN,118,1.05,8,-0.00780254602432251
GCN,118,1.05,9,0.0153847336769104
GCN,118,1.05,10,0.009083271026611328
GCN,118,1.05,11,0.002421140670776367
GCN,118,1.05,12,-0.01570582389831543
GCN,118,1.05,13,0.002254009246826172
GCN,118,1.05,14,0.007956266403198242
GCN,118,1.05,15,0.005072057247161865
GCN,118,1.05,16,0.0071909427642822266
