architecture,concept,test_patient_r2
GCN,area,0.9880463480949402
GCN,eccentricity,0.8391788005828857
GCN,solidity,0.8202230334281921
GraphSAGE,area,0.9802240133285522
GraphSAGE,eccentricity,0.7797776460647583
GraphSAGE,solidity,0.8541902899742126
GATv2,area,0.9829457998275757
GATv2,eccentricity,0.7888790369033813
GATv2,solidity,0.751610279083252
