architecture,patient,seed,fraction,method,repeat,predicted_class_probability_drop
GCN,101,23,0.2,random,1,0.01670852303504944
GCN,101,23,0.2,random,2,0.008494317531585693
GCN,101,23,0.2,random,3,0.005853027105331421
GCN,101,23,0.2,random,4,0.011933714151382446
GCN,101,23,0.2,random,5,0.0026439130306243896
GCN,101,23,0.2,random,6,0.02930125594139099
GCN,101,23,0.2,random,7,0.004810303449630737
GCN,101,23,0.2,random,8,0.010417759418487549
GCN,101,23,0.2,random,9,0.019225865602493286
GCN,101,23,0.2,random,10,0.016741544008255005
GCN,101,23,0.2,random,11,-0.012632757425308228
GCN,101,23,0.2,random,12,0.013883411884307861
GCN,101,23,0.2,random,13,0.02160853147506714
GCN,101,23,0.2,random,14,0.01892644166946411
GCN,101,23,0.2,random,15,0.011949121952056885
GCN,101,23,0.2,random,16,-0.0029455721378326416
GCN,101,23,0.2,random,17,0.01298898458480835
GCN,101,23,0.2,random,18,0.008943498134613037
GCN,101,23,0.2,random,19,-0.0002951323986053467
GCN,101,37,0.05,gnnexplainer,-1,0.003658384084701538
GCN,101,37,0.05,random,0,0.005646765232086182
GCN,101,37,0.05,random,1,0.006087005138397217
GCN,101,37,0.05,random,2,-0.0063957273960113525
GCN,101,37,0.05,random,3,0.006087005138397217
GCN,101,37,0.05,random,4,0.012073695659637451
GCN,101,37,0.05,random,5,0.003782302141189575
GCN,101,37,0.05,random,6,-0.0063957273960113525
GCN,101,37,0.05,random,7,0.0011411309242248535
GCN,101,37,0.05,random,8,0.006087005138397217
GCN,101,37,0.05,random,9,0.0021154582500457764
GCN,101,37,0.05,random,10,0.003782302141189575
GCN,101,37,0.05,random,11,0.005777269601821899
GCN,101,37,0.05,random,12,0.005646765232086182
GCN,101,37,0.05,random,13,0.004178225994110107
GCN,101,37,0.05,random,14,0.006087005138397217
GCN,101,37,0.05,random,15,-0.001638174057006836
GCN,101,37,0.05,random,16,0.012073695659637451
GCN,101,37,0.05,random,17,0.005777269601821899
GCN,101,37,0.05,random,18,0.003658384084701538
GCN,101,37,0.05,random,19,0.0021154582500457764
GCN,101,37,0.1,gnnexplainer,-1,0.0015738308429718018
GCN,101,37,0.1,random,0,-0.0008527934551239014
GCN,101,37,0.1,random,1,0.015684902667999268
GCN,101,37,0.1,random,2,0.009849101305007935
GCN,101,37,0.1,random,3,0.013881474733352661
GCN,101,37,0.1,random,4,0.0017694532871246338
GCN,101,37,0.1,random,5,-0.0026144683361053467
GCN,101,37,0.1,random,6,0.0017694532871246338
GCN,101,37,0.1,random,7,0.0055280327796936035
GCN,101,37,0.1,random,8,0.023327738046646118
GCN,101,37,0.1,random,9,0.00980609655380249
GCN,101,37,0.1,random,10,0.010940700769424438
GCN,101,37,0.1,random,11,0.0015738308429718018
GCN,101,37,0.1,random,12,0.00873151421546936
GCN,101,37,0.1,random,13,0.006002157926559448
GCN,101,37,0.1,random,14,0.0165804922580719
GCN,101,37,0.1,random,15,0.018249332904815674
GCN,101,37,0.1,random,16,0.015467077493667603
GCN,101,37,0.1,random,17,0.009347736835479736
GCN,101,37,0.1,random,18,0.0017694532871246338
GCN,101,37,0.1,random,19,0.00931742787361145
GCN,101,37,0.2,gnnexplainer,-1,0.003571063280105591
GCN,101,37,0.2,random,0,-0.0009008049964904785
GCN,101,37,0.2,random,1,0.017359793186187744
GCN,101,37,0.2,random,2,0.005325138568878174
GCN,101,37,0.2,random,3,0.002884805202484131
GCN,101,37,0.2,random,4,0.01519399881362915
GCN,101,37,0.2,random,5,0.01705077290534973
GCN,101,37,0.2,random,6,0.006503552198410034
GCN,101,37,0.2,random,7,0.006458938121795654
GCN,101,37,0.2,random,8,0.020364224910736084
GCN,101,37,0.2,random,9,0.023234903812408447
GCN,101,37,0.2,random,10,0.009558826684951782
GCN,101,37,0.2,random,11,0.01170244812965393
GCN,101,37,0.2,random,12,0.01900884509086609
GCN,101,37,0.2,random,13,0.012589603662490845
GCN,101,37,0.2,random,14,0.01831880211830139
GCN,101,37,0.2,random,15,0.008002221584320068
GCN,101,37,0.2,random,16,0.018263667821884155
GCN,101,37,0.2,random,17,0.004844754934310913
GCN,101,37,0.2,random,18,0.002378612756729126
GCN,101,37,0.2,random,19,0.018263667821884155
GCN,102,11,0.05,gnnexplainer,-1,0.06324291229248047
GCN,102,11,0.05,random,0,0.008327901363372803
GCN,102,11,0.05,random,1,0.023682773113250732
GCN,102,11,0.05,random,2,0.018178164958953857
GCN,102,11,0.05,random,3,-0.005895733833312988
GCN,102,11,0.05,random,4,-0.0003394484519958496
GCN,102,11,0.05,random,5,0.022787630558013916
GCN,102,11,0.05,random,6,0.016249358654022217
GCN,102,11,0.05,random,7,0.014778971672058105
GCN,102,11,0.05,random,8,0.013384222984313965
GCN,102,11,0.05,random,9,-0.0032358765602111816
GCN,102,11,0.05,random,10,0.021762847900390625
GCN,102,11,0.05,random,11,-0.00900202989578247
GCN,102,11,0.05,random,12,-0.003583967685699463
GCN,102,11,0.05,random,13,0.05575627088546753
GCN,102,11,0.05,random,14,0.02949202060699463
GCN,102,11,0.05,random,15,-0.0006487369537353516
GCN,102,11,0.05,random,16,-0.0015881657600402832
GCN,102,11,0.05,random,17,0.048051655292510986
GCN,102,11,0.05,random,18,-0.0005416274070739746
GCN,102,11,0.05,random,19,0.01026308536529541
GCN,102,11,0.1,gnnexplainer,-1,0.09104382991790771
GCN,102,11,0.1,random,0,0.01280444860458374
GCN,102,11,0.1,random,1,0.048574745655059814
GCN,102,11,0.1,random,2,0.003960907459259033
GCN,102,11,0.1,random,3,-0.005790531635284424
GCN,102,11,0.1,random,4,0.01198875904083252
GCN,102,11,0.1,random,5,0.03205597400665283
GCN,102,11,0.1,random,6,0.02090221643447876
GCN,102,11,0.1,random,7,0.023855388164520264
GCN,102,11,0.1,random,8,0.024134576320648193
GCN,102,11,0.1,random,9,0.05893188714981079
GCN,102,11,0.1,random,10,0.008453905582427979
GCN,102,11,0.1,random,11,-0.0026189684867858887
GCN,102,11,0.1,random,12,0.0032423734664916992
GCN,102,11,0.1,random,13,0.02269953489303589
GCN,102,11,0.1,random,14,-0.004492759704589844
GCN,102,11,0.1,random,15,0.05135065317153931
GCN,102,11,0.1,random,16,0.022109568119049072
GCN,102,11,0.1,random,17,-0.007871627807617188
GCN,102,11,0.1,random,18,0.050287842750549316
GCN,102,11,0.1,random,19,0.06448405981063843
GCN,102,11,0.2,gnnexplainer,-1,0.12871605157852173
GCN,102,11,0.2,random,0,0.06170433759689331
GCN,102,11,0.2,random,1,0.04670751094818115
GCN,102,11,0.2,random,2,0.06164520978927612
GCN,102,11,0.2,random,3,0.04988914728164673
GCN,102,11,0.2,random,4,0.044103264808654785
GCN,102,11,0.2,random,5,0.0016110539436340332
GCN,102,11,0.2,random,6,0.008849561214447021
GCN,102,11,0.2,random,7,0.10034877061843872
GCN,102,11,0.2,random,8,0.0421866774559021
GCN,102,11,0.2,random,9,0.10152179002761841
GCN,102,11,0.2,random,10,0.040431439876556396
GCN,102,11,0.2,random,11,0.026659131050109863
GCN,102,11,0.2,random,12,0.011578738689422607
GCN,102,11,0.2,random,13,0.028320014476776123
GCN,102,11,0.2,random,14,0.019173800945281982
GCN,102,11,0.2,random,15,0.07055562734603882
GCN,102,11,0.2,random,16,0.014854848384857178
GCN,102,11,0.2,random,17,0.01297062635421753
GCN,102,11,0.2,random,18,0.02802407741546631
GCN,102,11,0.2,random,19,0.029276549816131592
GCN,102,23,0.05,gnnexplainer,-1,0.06194812059402466
GCN,102,23,0.05,random,0,0.005756795406341553
GCN,102,23,0.05,random,1,-0.019975244998931885
GCN,102,23,0.05,random,2,0.012940585613250732
GCN,102,23,0.05,random,3,0.016776442527770996
GCN,102,23,0.05,random,4,0.022374749183654785
GCN,102,23,0.05,random,5,0.007195889949798584
GCN,102,23,0.05,random,6,0.030720293521881104
GCN,102,23,0.05,random,7,0.03848057985305786
GCN,102,23,0.05,random,8,-0.0016651153564453125
GCN,102,23,0.05,random,9,-0.011926412582397461
GCN,102,23,0.05,random,10,-0.01026308536529541
GCN,102,23,0.05,random,11,0.011672139167785645
GCN,102,23,0.05,random,12,0.013483047485351562
GCN,102,23,0.05,random,13,0.000498652458190918
GCN,102,23,0.05,random,14,0.012459635734558105
GCN,102,23,0.05,random,15,0.04347139596939087
GCN,102,23,0.05,random,16,0.00530010461807251
GCN,102,23,0.05,random,17,-0.00900202989578247
GCN,102,23,0.05,random,18,0.02222001552581787
GCN,102,23,0.05,random,19,0.01346677541732788
GCN,102,23,0.1,gnnexplainer,-1,0.09244781732559204
GCN,102,23,0.1,random,0,0.059461772441864014
GCN,102,23,0.1,random,1,0.0163155198097229
GCN,102,23,0.1,random,2,0.04571741819381714
GCN,102,23,0.1,random,3,0.0020236968994140625
GCN,102,23,0.1,random,4,0.0471571683883667
GCN,102,23,0.1,random,5,0.0067525506019592285
GCN,102,23,0.1,random,6,0.03156203031539917
GCN,102,23,0.1,random,7,0.02485281229019165
GCN,102,23,0.1,random,8,0.018335163593292236
GCN,102,23,0.1,random,9,-0.0024262070655822754
GCN,102,23,0.1,random,10,0.01510775089263916
GCN,102,23,0.1,random,11,-0.005129456520080566
GCN,102,23,0.1,random,12,0.021677613258361816
GCN,102,23,0.1,random,13,0.06598466634750366
GCN,102,23,0.1,random,14,0.003068387508392334
GCN,102,23,0.1,random,15,0.0024005770683288574
GCN,102,23,0.1,random,16,0.004252731800079346
GCN,102,23,0.1,random,17,0.02007979154586792
GCN,102,23,0.1,random,18,0.023858845233917236
GCN,102,23,0.1,random,19,0.02485281229019165
GCN,102,23,0.2,gnnexplainer,-1,0.13690215349197388
GCN,102,23,0.2,random,0,-0.01553964614868164
GCN,102,23,0.2,random,1,0.018251359462738037
GCN,102,23,0.2,random,2,0.0011913180351257324
GCN,102,23,0.2,random,3,0.02421504259109497
GCN,102,23,0.2,random,4,0.016739368438720703
GCN,102,23,0.2,random,5,0.0356329083442688
GCN,102,23,0.2,random,6,0.0634993314743042
GCN,102,23,0.2,random,7,0.05582493543624878
GCN,102,23,0.2,random,8,0.09492391347885132
GCN,102,23,0.2,random,9,0.01210850477218628
GCN,102,23,0.2,random,10,0.03331238031387329
GCN,102,23,0.2,random,11,0.02301090955734253
GCN,102,23,0.2,random,12,0.047046005725860596
GCN,102,23,0.2,random,13,0.041799068450927734
GCN,102,23,0.2,random,14,0.06545144319534302
GCN,102,23,0.2,random,15,0.032198429107666016
GCN,102,23,0.2,random,16,0.05412697792053223
GCN,102,23,0.2,random,17,0.058545053005218506
GCN,102,23,0.2,random,18,0.05335575342178345
GCN,102,23,0.2,random,19,-0.017868638038635254
GCN,102,37,0.05,gnnexplainer,-1,0.06324291229248047
GCN,102,37,0.05,random,0,-0.001964747905731201
GCN,102,37,0.05,random,1,-0.006208360195159912
GCN,102,37,0.05,random,2,0.03866153955459595
GCN,102,37,0.05,random,3,0.02198803424835205
GCN,102,37,0.05,random,4,0.0008245706558227539
GCN,102,37,0.05,random,5,-0.016405999660491943
GCN,102,37,0.05,random,6,0.013483047485351562
GCN,102,37,0.05,random,7,-0.00900202989578247
GCN,102,37,0.05,random,8,0.03715616464614868
GCN,102,37,0.05,random,9,0.0219079852104187
GCN,102,37,0.05,random,10,-0.0039476752281188965
GCN,102,37,0.05,random,11,0.01353079080581665
GCN,102,37,0.05,random,12,0.029930710792541504
GCN,102,37,0.05,random,13,0.014229178428649902
GCN,102,37,0.05,random,14,0.013145744800567627
GCN,102,37,0.05,random,15,0.015925109386444092
GCN,102,37,0.05,random,16,-0.011626064777374268
GCN,102,37,0.05,random,17,0.011115670204162598
GCN,102,37,0.05,random,18,0.018558382987976074
GCN,102,37,0.05,random,19,0.035880982875823975
GCN,102,37,0.1,gnnexplainer,-1,0.09375965595245361
GCN,102,37,0.1,random,0,-0.006466269493103027
GCN,102,37,0.1,random,1,0.027550339698791504
GCN,102,37,0.1,random,2,0.02146381139755249
GCN,102,37,0.1,random,3,0.020833075046539307
GCN,102,37,0.1,random,4,0.032179057598114014
GCN,102,37,0.1,random,5,0.01197803020477295
GCN,102,37,0.1,random,6,0.022952914237976074
GCN,102,37,0.1,random,7,-0.008015811443328857
GCN,102,37,0.1,random,8,0.005482852458953857
GCN,102,37,0.1,random,9,0.012678205966949463
GCN,102,37,0.1,random,10,0.013995110988616943
GCN,102,37,0.1,random,11,0.024164199829101562
GCN,102,37,0.1,random,12,0.034469544887542725
GCN,102,37,0.1,random,13,0.041117846965789795
GCN,102,37,0.1,random,14,0.04590046405792236
GCN,102,37,0.1,random,15,-0.0049782395362854
GCN,102,37,0.1,random,16,0.02488917112350464
GCN,102,37,0.1,random,17,0.03762120008468628
GCN,102,37,0.1,random,18,0.0071524977684021
GCN,102,37,0.1,random,19,0.03476494550704956
GCN,102,37,0.2,gnnexplainer,-1,0.14216414093971252
GCN,102,37,0.2,random,0,0.004772841930389404
GCN,102,37,0.2,random,1,0.10297620296478271
GCN,102,37,0.2,random,2,0.009288251399993896
GCN,102,37,0.2,random,3,0.03848522901535034
GCN,102,37,0.2,random,4,0.08667314052581787
GCN,102,37,0.2,random,5,0.042106568813323975
GCN,102,37,0.2,random,6,0.017463862895965576
GCN,102,37,0.2,random,7,0.04061782360076904
GCN,102,37,0.2,random,8,0.07979661226272583
GCN,102,37,0.2,random,9,-0.005498290061950684
GCN,102,37,0.2,random,10,0.05160176753997803
GCN,102,37,0.2,random,11,0.012568354606628418
GCN,102,37,0.2,random,12,0.02476733922958374
GCN,102,37,0.2,random,13,0.0560031533241272
GCN,102,37,0.2,random,14,0.08329194784164429
GCN,102,37,0.2,random,15,0.011935055255889893
GCN,102,37,0.2,random,16,0.04640817642211914
GCN,102,37,0.2,random,17,0.029953300952911377
GCN,102,37,0.2,random,18,0.05036097764968872
GCN,102,37,0.2,random,19,0.028174936771392822
GCN,106,11,0.05,gnnexplainer,-1,0.0485190749168396
GCN,106,11,0.05,random,0,0.01361989974975586
GCN,106,11,0.05,random,1,0.009280920028686523
GCN,106,11,0.05,random,2,0.004842042922973633
GCN,106,11,0.05,random,3,0.015457987785339355
GCN,106,11,0.05,random,4,0.018998026847839355
GCN,106,11,0.05,random,5,0.006807088851928711
GCN,106,11,0.05,random,6,0.027344107627868652
GCN,106,11,0.05,random,7,0.012637495994567871
GCN,106,11,0.05,random,8,0.021553874015808105
GCN,106,11,0.05,random,9,0.015616416931152344
GCN,106,11,0.05,random,10,0.0127028226852417
GCN,106,11,0.05,random,11,0.011523723602294922
GCN,106,11,0.05,random,12,0.012818217277526855
GCN,106,11,0.05,random,13,0.028456568717956543
GCN,106,11,0.05,random,14,0.023963451385498047
GCN,106,11,0.05,random,15,0.013887524604797363
GCN,106,11,0.05,random,16,0.01658838987350464
GCN,106,11,0.05,random,17,0.01583564281463623
GCN,106,11,0.05,random,18,0.013121068477630615
GCN,106,11,0.05,random,19,0.013039946556091309
GCN,106,11,0.1,gnnexplainer,-1,0.07983195781707764
GCN,106,11,0.1,random,0,0.01889270544052124
GCN,106,11,0.1,random,1,0.016963481903076172
GCN,106,11,0.1,random,2,0.037681758403778076
GCN,106,11,0.1,random,3,0.017969846725463867
GCN,106,11,0.1,random,4,0.012444674968719482
GCN,106,11,0.1,random,5,0.03581058979034424
GCN,106,11,0.1,random,6,0.038581669330596924
GCN,106,11,0.1,random,7,0.014484763145446777
GCN,106,11,0.1,random,8,0.035399794578552246
GCN,106,11,0.1,random,9,0.03463262319564819
GCN,106,11,0.1,random,10,0.027080655097961426
GCN,106,11,0.1,random,11,0.043570876121520996
GCN,106,11,0.1,random,12,0.023461103439331055
GCN,106,11,0.1,random,13,0.02244722843170166
GCN,106,11,0.1,random,14,0.026175975799560547
GCN,106,11,0.1,random,15,0.015795409679412842
GCN,106,11,0.1,random,16,0.012995719909667969
GCN,106,11,0.1,random,17,0.0346451997756958
GCN,106,11,0.1,random,18,0.0186423659324646
GCN,106,11,0.1,random,19,0.03248262405395508
GCN,106,11,0.2,gnnexplainer,-1,0.11301392316818237
GCN,106,11,0.2,random,0,0.05642092227935791
GCN,106,11,0.2,random,1,0.041338205337524414
GCN,106,11,0.2,random,2,0.07097393274307251
GCN,106,11,0.2,random,3,0.06319713592529297
GCN,106,11,0.2,random,4,0.04055303335189819
GCN,106,11,0.2,random,5,0.0652310848236084
GCN,106,11,0.2,random,6,0.061467528343200684
GCN,106,11,0.2,random,7,0.057335495948791504
GCN,106,11,0.2,random,8,0.06421613693237305
GCN,106,11,0.2,random,9,0.051928043365478516
GCN,106,11,0.2,random,10,0.04673194885253906
GCN,106,11,0.2,random,11,0.04651963710784912
GCN,106,11,0.2,random,12,0.05494207143783569
GCN,106,11,0.2,random,13,0.05438512563705444
GCN,106,11,0.2,random,14,0.05369853973388672
GCN,106,11,0.2,random,15,0.04148375988006592
GCN,106,11,0.2,random,16,0.0649271011352539
GCN,106,11,0.2,random,17,0.0451887845993042
GCN,106,11,0.2,random,18,0.03974628448486328
GCN,106,11,0.2,random,19,0.04464370012283325
GCN,106,23,0.05,gnnexplainer,-1,0.04763627052307129
GCN,106,23,0.05,random,0,0.007828831672668457
GCN,106,23,0.05,random,1,0.014197289943695068
GCN,106,23,0.05,random,2,-0.004365503787994385
GCN,106,23,0.05,random,3,0.01226872205734253
GCN,106,23,0.05,random,4,0.014033734798431396
GCN,106,23,0.05,random,5,0.006182849407196045
GCN,106,23,0.05,random,6,0.01850306987762451
GCN,106,23,0.05,random,7,0.008470892906188965
GCN,106,23,0.05,random,8,0.013586878776550293
GCN,106,23,0.05,random,9,0.011303126811981201
GCN,106,23,0.05,random,10,0.008899688720703125
GCN,106,23,0.05,random,11,0.011364459991455078
GCN,106,23,0.05,random,12,0.006460070610046387
GCN,106,23,0.05,random,13,0.007374405860900879
GCN,106,23,0.05,random,14,0.013485610485076904
GCN,106,23,0.05,random,15,0.011381149291992188
GCN,106,23,0.05,random,16,0.01128453016281128
GCN,106,23,0.05,random,17,0.023253440856933594
GCN,106,23,0.05,random,18,0.014654397964477539
GCN,106,23,0.05,random,19,0.014133572578430176
GCN,106,23,0.1,gnnexplainer,-1,0.07732248306274414
GCN,106,23,0.1,random,0,0.031282663345336914
GCN,106,23,0.1,random,1,0.01913928985595703
GCN,106,23,0.1,random,2,0.018907666206359863
GCN,106,23,0.1,random,3,0.03560131788253784
GCN,106,23,0.1,random,4,0.03615289926528931
GCN,106,23,0.1,random,5,0.03663527965545654
GCN,106,23,0.1,random,6,0.026742875576019287
GCN,106,23,0.1,random,7,0.02380692958831787
GCN,106,23,0.1,random,8,0.021375060081481934
GCN,106,23,0.1,random,9,0.02203124761581421
GCN,106,23,0.1,random,10,0.03893482685089111
GCN,106,23,0.1,random,11,0.030836820602416992
GCN,106,23,0.1,random,12,0.027151107788085938
GCN,106,23,0.1,random,13,0.031364381313323975
GCN,106,23,0.1,random,14,0.02877628803253174
GCN,106,23,0.1,random,15,0.044571876525878906
GCN,106,23,0.1,random,16,0.035888671875
GCN,106,23,0.1,random,17,0.031089186668395996
GCN,106,23,0.1,random,18,0.013429641723632812
GCN,106,23,0.1,random,19,0.022180378437042236
GCN,106,23,0.2,gnnexplainer,-1,0.10694563388824463
GCN,106,23,0.2,random,0,0.0711907148361206
GCN,106,23,0.2,random,1,0.06509101390838623
GCN,106,23,0.2,random,2,0.052331626415252686
GCN,106,23,0.2,random,3,0.07626962661743164
GCN,106,23,0.2,random,4,0.04393291473388672
GCN,106,23,0.2,random,5,0.04665637016296387
GCN,106,23,0.2,random,6,0.06942367553710938
GCN,106,23,0.2,random,7,0.050179243087768555
GCN,106,23,0.2,random,8,0.062034547328948975
GCN,106,23,0.2,random,9,0.05626332759857178
GCN,106,23,0.2,random,10,0.060690343379974365
GCN,106,23,0.2,random,11,0.03425472974777222
GCN,106,23,0.2,random,12,0.03932201862335205
GCN,106,23,0.2,random,13,0.05633944272994995
GCN,106,23,0.2,random,14,0.0470808744430542
GCN,106,23,0.2,random,15,0.05450618267059326
GCN,106,23,0.2,random,16,0.04313528537750244
GCN,106,23,0.2,random,17,0.04586368799209595
GCN,106,23,0.2,random,18,0.06680703163146973
