architecture,patient,area_factor,method,repeat,probability_IC_change,area_probe_shift_sd,eccentricity_probe_shift_sd,solidity_probe_shift_sd,feature_support_fraction,clinical_validity
GCN,101,0.95,gcia_morphology,-1,-0.003484576940536499,-0.06791400909423828,-0.034833669662475586,-0.03448319435119629,1.0,False
GCN,101,0.95,random,0,0.00034943222999572754,-0.006377220153808594,-0.0044863224029541016,0.022917628288269043,1.0,False
GCN,101,0.95,random,1,1.8805265426635742e-05,-7.069110870361328e-05,-0.04872560501098633,0.05072009563446045,1.0,False
GCN,101,0.95,random,2,0.0001353621482849121,0.005098819732666016,0.01534724235534668,0.00489199161529541,1.0,False
GCN,101,0.95,random,3,0.0006539523601531982,-0.015782415866851807,0.027081012725830078,-0.022545337677001953,1.0,False
GCN,101,0.95,random,4,0.0006142556667327881,0.00943976640701294,0.009715795516967773,0.0015511512756347656,1.0,False
GCN,101,0.95,random,5,-0.0008767545223236084,0.01131361722946167,-0.054570674896240234,0.06001687049865723,1.0,False
GCN,101,0.95,random,6,-0.0006459057331085205,-0.0009591579437255859,-0.012671232223510742,-0.0003559589385986328,1.0,False
GCN,101,0.95,random,7,-0.0011004507541656494,-0.010347843170166016,-0.035483598709106445,0.018096208572387695,1.0,False
GCN,101,0.95,random,8,-0.0017541944980621338,0.010035872459411621,-0.00028014183044433594,0.002845287322998047,1.0,False
GCN,101,0.95,random,9,-0.001430422067642212,-0.01050025224685669,-0.04833078384399414,0.0038362741470336914,1.0,False
GCN,101,0.95,random,10,-0.00016242265701293945,0.00312650203704834,0.018649578094482422,-0.04021000862121582,1.0,False
GCN,101,0.95,random,11,-0.0007722973823547363,-0.0007158517837524414,-0.004572868347167969,0.0011428594589233398,1.0,False
GCN,101,0.95,random,12,-0.0022257864475250244,0.0027990341186523438,-0.027363061904907227,0.003411412239074707,1.0,False
GCN,101,0.95,random,13,-0.0009275078773498535,0.0030490756034851074,-0.009633779525756836,-0.020873427391052246,1.0,False
GCN,101,0.95,random,14,-4.1931867599487305e-05,-1.537799835205078e-05,-0.028360366821289062,0.02011561393737793,1.0,False
GCN,101,0.95,random,15,0.0009839832782745361,-0.002111196517944336,-0.00708460807800293,0.004975676536560059,1.0,False
GCN,101,0.95,random,16,0.0010991692543029785,-0.007505953311920166,-0.007765054702758789,0.013615846633911133,1.0,False
GCN,101,0.95,random,17,-0.0010113418102264404,-0.0027610063552856445,-0.014875650405883789,0.02156198024749756,1.0,False
GCN,101,0.95,random,18,-9.837746620178223e-05,-0.007613122463226318,-0.03161501884460449,0.014562726020812988,1.0,False
GCN,101,0.95,random,19,7.584691047668457e-05,-0.0031228065490722656,0.03661537170410156,-0.04076683521270752,1.0,False
GCN,101,1.05,gcia_morphology,-1,0.004006832838058472,0.06884872913360596,0.029083967208862305,0.033260464668273926,1.0,False
GCN,101,1.05,random,0,-0.0005408823490142822,0.004095137119293213,-0.02828073501586914,0.003623485565185547,1.0,False
GCN,101,1.05,random,1,0.0006633102893829346,0.0038862228393554688,0.01993846893310547,-0.010913252830505371,1.0,False
GCN,101,1.05,random,2,0.002111762762069702,0.0021233558654785156,0.026488065719604492,-0.02295088768005371,1.0,False
GCN,101,1.05,random,3,0.00017210841178894043,-0.001959502696990967,-0.012963294982910156,0.010510087013244629,1.0,False
GCN,101,1.05,random,4,0.0005005300045013428,-0.005776107311248779,0.018944978713989258,-0.02044391632080078,1.0,False
GCN,101,1.05,random,5,0.002017676830291748,0.0033825039863586426,0.00766444206237793,0.01772916316986084,1.0,False
GCN,101,1.05,random,6,-0.0016071498394012451,0.0006563663482666016,0.02660679817199707,-0.011289358139038086,1.0,False
GCN,101,1.05,random,7,0.00048285722732543945,-0.00478816032409668,0.013376235961914062,-0.03443920612335205,1.0,False
GCN,101,1.05,random,8,0.0010648071765899658,-0.002381742000579834,-0.003913402557373047,-0.01662135124206543,1.0,False
GCN,101,1.05,random,9,0.0009956657886505127,0.008949518203735352,0.0416412353515625,-0.0034862756729125977,1.0,False
GCN,101,1.05,random,10,0.0016820728778839111,0.00814729928970337,0.0003478527069091797,0.016333699226379395,1.0,False
GCN,101,1.05,random,11,0.0010839998722076416,-0.0072318315505981445,-0.011249542236328125,0.015369653701782227,1.0,False
GCN,101,1.05,random,12,0.001026540994644165,-0.004537999629974365,-0.03191661834716797,0.03738737106323242,1.0,False
GCN,101,1.05,random,13,0.0008372366428375244,0.011721491813659668,0.020166635513305664,-0.007228970527648926,1.0,False
GCN,101,1.05,random,14,-0.0009436309337615967,0.0008612871170043945,-0.011226415634155273,0.02350175380706787,1.0,False
GCN,101,1.05,random,15,0.0003539919853210449,0.0032262206077575684,-0.01822805404663086,0.01673901081085205,1.0,False
GCN,101,1.05,random,16,-0.00021517276763916016,-0.0006043314933776855,-0.029111623764038086,0.04213535785675049,1.0,False
GCN,101,1.05,random,17,0.0009897351264953613,0.005084037780761719,-0.0256805419921875,0.02910768985748291,1.0,False
GCN,101,1.05,random,18,-0.0017401278018951416,0.0035284757614135742,-0.019704818725585938,0.025380611419677734,1.0,False
GCN,101,1.05,random,19,0.0024698376655578613,0.01830470561981201,-0.02076554298400879,0.024512052536010742,1.0,False
GCN,102,0.95,gcia_morphology,-1,-0.026730716228485107,-0.15657036006450653,0.000637102872133255,-0.02196066454052925,1.0,False
GCN,102,0.95,random,0,0.00028711557388305664,0.0058526694774627686,0.016438011080026627,-0.008565384894609451,1.0,False
GCN,102,0.95,random,1,-0.0028821229934692383,-0.0027254223823547363,0.00013936683535575867,-0.01626598834991455,1.0,False
GCN,102,0.95,random,2,0.002900063991546631,0.007710576057434082,0.013503890484571457,0.011245165020227432,1.0,False
GCN,102,0.95,random,3,-0.004334747791290283,-0.018657684326171875,0.0033623427152633667,-0.007183201611042023,1.0,False
GCN,102,0.95,random,4,-0.00022155046463012695,-0.001324295997619629,0.008306067436933517,0.011273201555013657,1.0,False
GCN,102,0.95,random,5,-0.002977907657623291,-0.009648621082305908,0.0014340393245220184,-0.02871239185333252,1.0,False
GCN,102,0.95,random,6,0.0023689866065979004,0.01233762502670288,-0.0031323395669460297,-0.002214580774307251,1.0,False
GCN,102,0.95,random,7,-0.003377974033355713,-0.0051003992557525635,0.004533212631940842,-0.0009738616645336151,1.0,False
GCN,102,0.95,random,8,-0.0006663203239440918,-0.007500648498535156,0.0350022129714489,-0.009657144546508789,1.0,False
GCN,102,0.95,random,9,-0.0038626790046691895,-0.011078715324401855,-0.0064198412001132965,0.018729817122220993,1.0,False
GCN,102,0.95,random,10,0.0009473562240600586,0.007345348596572876,0.045416418462991714,0.001010008156299591,1.0,False
