stage,analysis,record_type,dataset,model,seed,concept,layer,probe_metric,probe_value,tcav_value,target_effect,control_effect,gcia_excess,ci_low,ci_high,intervention_valid,interpretation,budget,concept_shift,control_budget,control_ci_high,control_ci_low,control_concept_shift,encoded,invalid_reason,metric,n_graphs,n_groups,patient_id,permutation_p,sample_id,target_ci_high,target_ci_low,valid_fraction,value
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3786047697067261,0.21407562494277954,0.16452914476394653,,,True,,6.928203105926514,2.0,6.928203105926514,,,2.9802322387695312e-08,,,,,,test_1,,test_1_001,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.38592529296875,0.21561884880065918,0.17030644416809082,,,True,,6.928203105926514,2.0,6.928203105926514,,,2.9802322387695312e-08,,,,,,test_1,,test_1_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.38592529296875,0.10374912619590759,0.2821761667728424,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_1,,test_1_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3786047697067261,0.6481764316558838,-0.2695716619491577,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_1,,test_1_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3786047697067261,0.5910358428955078,-0.21243107318878174,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_1,,test_1_101,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3859253525733948,0.468854695558548,-0.0829293429851532,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_1,,test_1_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3859253525733948,0.46116435527801514,-0.07523900270462036,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_1,,test_1_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.40641069412231445,0.21877402067184448,0.18763667345046997,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_2,,test_2_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.40641069412231445,0.2187061905860901,0.18770450353622437,,,True,,6.928203105926514,2.0,6.928203105926514,,,3.973643103449831e-08,,,,,,test_2,,test_2_001,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3835667073726654,0.2344774454832077,0.1490892618894577,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_2,,test_2_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3835667073726654,0.22721236944198608,0.15635433793067932,,,True,,6.928203105926514,2.0,6.928203105926514,,,3.973643103449831e-08,,,,,,test_2,,test_2_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.40641069412231445,0.6385326385498047,-0.23212194442749023,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_2,,test_2_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.40641069412231445,0.631899893283844,-0.22548919916152954,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_2,,test_2_101,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3835667073726654,0.4531388580799103,-0.06957215070724487,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_2,,test_2_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3835667073726654,0.4490482807159424,-0.06548157334327698,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_2,,test_2_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.35419899225234985,0.18091276288032532,0.17328622937202454,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_3,,test_3_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.35419899225234985,0.1392364352941513,0.21496255695819855,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_3,,test_3_001,,,,
