patient,concept,polarity,method,repeat,probe_target_change_sd,max_collateral_sd,layer2_target_change_sd,probability_IC_change,feature_support_fraction,numerical_gate,clinical_validity
101,brightness_proxy,-1,gcia_proxy,-1,-2.0443742275238037,1.7881393432617188e-07,-0.029425814747810364,0.008236488327383995,0.9966905381944444,True,False
101,brightness_proxy,-1,random,0,-0.1334007829427719,0.17514821887016296,0.01027853786945343,0.0005822554230690002,0.9981282552083334,False,False
101,brightness_proxy,-1,random,1,0.03665795922279358,0.12555992603302002,-0.022760003805160522,-0.0008477261289954185,0.9966905381944444,False,False
101,brightness_proxy,-1,random,2,0.11067843437194824,0.030693016946315765,-0.02890978753566742,0.0036129187792539597,0.9978298611111112,False,False
101,brightness_proxy,-1,random,3,0.060894519090652466,0.09926661849021912,-0.012390822172164917,0.003458801656961441,0.9976128472222222,False,False
101,brightness_proxy,-1,random,4,-0.002823948860168457,0.012057527899742126,0.12392193078994751,0.0006327889859676361,0.9977484809027778,False,False
101,brightness_proxy,-1,random,5,0.034484103322029114,0.040422797203063965,-0.05060790479183197,-0.00031724851578474045,0.9982638888888888,False,False
101,brightness_proxy,-1,random,6,-0.06550170481204987,0.0674976110458374,-0.02218577265739441,0.0020709149539470673,0.9969346788194444,False,False
101,brightness_proxy,-1,random,7,-0.038073137402534485,0.11180908977985382,-0.07751312851905823,0.00353139266371727,0.9962836371527778,False,False
101,brightness_proxy,-1,random,8,-0.025376558303833008,0.15181589126586914,0.11095312237739563,0.0001484788954257965,0.9967176649305556,False,False
101,brightness_proxy,-1,random,9,-0.022446557879447937,0.078738272190094,-0.0963306650519371,0.0026977993547916412,0.9981282552083334,False,False
101,brightness_proxy,-1,random,10,0.12207391858100891,0.04084199666976929,-0.004710301756858826,-0.0005159582942724228,0.9969075520833334,False,False
101,brightness_proxy,-1,random,11,0.10485070943832397,0.17321616411209106,0.05114427208900452,0.001605495810508728,0.9957411024305556,False,False
101,brightness_proxy,-1,random,12,-0.057673290371894836,0.03677874803543091,-0.014524385333061218,0.005626095458865166,0.9974772135416666,False,False
101,brightness_proxy,-1,random,13,0.09824033081531525,0.04938812553882599,-0.015202313661575317,-0.0006307084113359451,0.9981282552083334,False,False
101,brightness_proxy,-1,random,14,-0.11101530492305756,0.12114224582910538,-0.017739981412887573,-0.004492928273975849,0.9979383680555556,False,False
101,brightness_proxy,-1,random,15,0.04837794601917267,0.05938684940338135,-0.07567784190177917,-0.0006539206951856613,0.9967990451388888,False,False
101,brightness_proxy,-1,random,16,0.05005396902561188,0.0927969217300415,-0.04157988727092743,0.007573245093226433,0.9961480034722222,False,False
101,brightness_proxy,-1,random,17,-0.0006777793169021606,0.03987303376197815,-0.02972225844860077,0.00418761745095253,0.9961480034722222,False,False
101,brightness_proxy,-1,random,18,-0.056675031781196594,0.06017613410949707,-0.021685048937797546,0.0019544269889593124,0.9975314670138888,False,False
101,brightness_proxy,-1,random,19,-0.10579763352870941,0.17513203620910645,0.058208167552948,-0.0016842903569340706,0.9969346788194444,False,False
101,brightness_proxy,1,gcia_proxy,-1,2.0443735122680664,5.960464477539063e-08,0.011465340852737427,-0.005161977373063564,0.9970160590277778,True,False
101,brightness_proxy,1,random,0,0.11296086013317108,0.026298105716705322,0.018040373921394348,0.0005249530076980591,0.9964735243055556,True,False
101,brightness_proxy,1,random,1,0.05059623718261719,0.05193060636520386,0.09461817145347595,-0.0010868506506085396,0.9963107638888888,False,False
101,brightness_proxy,1,random,2,-0.04716502130031586,0.0761093944311142,0.0015711933374404907,0.005717672407627106,0.9964192708333334,False,False
101,brightness_proxy,1,random,3,0.056035950779914856,0.11196500062942505,-0.02780310809612274,-0.001931576058268547,0.9969889322916666,False,False
101,brightness_proxy,1,random,4,-0.08703024685382843,0.18333978950977325,-0.07287520170211792,-0.0012191971763968468,0.9981553819444444,False,False
101,brightness_proxy,1,random,5,-0.041287556290626526,0.09011024236679077,-0.13270312547683716,-0.000889820046722889,0.9964735243055556,False,False
101,brightness_proxy,1,random,6,0.20703339576721191,0.15950894355773926,0.027044102549552917,0.0020345263183116913,0.996826171875,False,False
101,brightness_proxy,1,random,7,-0.15901853144168854,0.045804738998413086,0.02837519347667694,-0.00021668802946805954,0.9961751302083334,False,False
101,brightness_proxy,1,random,8,0.08072011172771454,0.06402945518493652,0.030996352434158325,-0.004831067286431789,0.9969075520833334,False,False
101,brightness_proxy,1,random,9,0.11855146288871765,0.01617109775543213,-0.05641631782054901,0.00029196590185165405,0.9983452690972222,True,False
101,brightness_proxy,1,random,10,0.04000580310821533,0.13585731387138367,-0.09375908970832825,0.009809350594878197,0.9977213541666666,False,False
101,brightness_proxy,1,random,11,0.11304838955402374,0.049322888255119324,0.025010094046592712,0.00047233887016773224,0.9976671006944444,True,False
101,brightness_proxy,1,random,12,-0.28010648488998413,0.05469678342342377,-0.006067529320716858,-0.0010279109701514244,0.9963650173611112,False,False
101,brightness_proxy,1,random,13,-0.11555050313472748,0.17273718118667603,-0.038113996386528015,-0.0009176274761557579,0.9957411024305556,False,False
101,brightness_proxy,1,random,14,-0.040074288845062256,0.10120779275894165,0.020945847034454346,-0.004047619178891182,0.9975043402777778,False,False
101,brightness_proxy,1,random,15,-0.18944405019283295,0.12112712860107422,-0.10868199914693832,0.0018033906817436218,0.9976942274305556,False,False
101,brightness_proxy,1,random,16,-0.04480944573879242,0.015834510326385498,0.013970568776130676,-0.0008233161643147469,0.9960666232638888,False,False
101,brightness_proxy,1,random,17,0.1221674382686615,0.07333342730998993,0.07275280356407166,-0.000314394012093544,0.9972330729166666,False,False
101,brightness_proxy,1,random,18,0.007634297013282776,0.040345266461372375,0.04388236999511719,-0.002476944588124752,0.9976399739583334,False,False
101,brightness_proxy,1,random,19,0.053026825189590454,0.04901701211929321,-0.029546305537223816,0.013334281742572784,0.9971516927083334,False,False
101,red_minus_blue_proxy,-1,gcia_proxy,-1,-2.079164505004883,4.023313522338867e-07,-0.020890384912490845,-0.004727435298264027,0.9967990451388888,True,False
101,red_minus_blue_proxy,-1,random,0,-0.11418408155441284,0.11467842757701874,0.011038362979888916,-0.004320481792092323,0.9972873263888888,False,False
101,red_minus_blue_proxy,-1,random,1,0.0008080005645751953,0.17865392565727234,0.08059608936309814,-0.0002908902242779732,0.9978569878472222,False,False
101,red_minus_blue_proxy,-1,random,2,-0.1410684585571289,0.11766215413808823,0.011770159006118774,-0.0007599936798214912,0.9954969618055556,False,False
101,red_minus_blue_proxy,-1,random,3,0.15248119831085205,0.06589144468307495,0.07168671488761902,0.00119728222489357,0.9966362847222222,False,False
101,red_minus_blue_proxy,-1,random,4,-0.06406146287918091,0.09783749282360077,-0.00837680697441101,0.002313569188117981,0.9961480034722222,False,False
101,red_minus_blue_proxy,-1,random,5,-0.07869070768356323,0.06858594715595245,0.11781129240989685,0.001879565417766571,0.9967176649305556,False,False
101,red_minus_blue_proxy,-1,random,6,-0.07528030872344971,0.13941243290901184,-0.0068732500076293945,-0.003512023948132992,0.997802734375,False,False
101,red_minus_blue_proxy,-1,random,7,-0.17258507013320923,0.14393623173236847,-0.06060105562210083,-0.0028272513300180435,0.9962836371527778,False,False
101,red_minus_blue_proxy,-1,random,8,0.005260288715362549,0.14971879124641418,0.011241942644119263,0.0005468036979436874,0.9954698350694444,False,False
101,red_minus_blue_proxy,-1,random,9,0.0322643518447876,0.02142469584941864,0.012160688638687134,0.0025754179805517197,0.9967176649305556,False,False
101,red_minus_blue_proxy,-1,random,10,-0.004167795181274414,0.1530269980430603,-0.03260597586631775,-0.0005497951060533524,0.996826171875,False,False
101,red_minus_blue_proxy,-1,random,11,0.0069446563720703125,0.12336476892232895,-0.048957109451293945,-0.002665494568645954,0.9964735243055556,False,False
101,red_minus_blue_proxy,-1,random,12,0.04284173250198364,0.060952529311180115,-0.023137420415878296,5.731172859668732e-05,0.9970974392361112,False,False
101,red_minus_blue_proxy,-1,random,13,0.10332334041595459,0.054931722581386566,-0.047674596309661865,0.0010407064110040665,0.9963107638888888,False,False
101,red_minus_blue_proxy,-1,random,14,0.13562220335006714,0.08498187363147736,0.013519316911697388,-0.0008744290098547935,0.9971788194444444,False,False
101,red_minus_blue_proxy,-1,random,15,0.08059561252593994,0.18674983084201813,0.04152679443359375,0.004738345742225647,0.9977756076388888,False,False
101,red_minus_blue_proxy,-1,random,16,-0.09426623582839966,0.07077106833457947,-0.04670727252960205,0.0009087547659873962,0.9987250434027778,False,False
101,red_minus_blue_proxy,-1,random,17,-0.044364213943481445,0.10860326886177063,-0.1327304244041443,-0.0005362723022699356,0.9965549045138888,False,False
101,red_minus_blue_proxy,-1,random,18,-0.0787239670753479,0.06575152277946472,0.02616095542907715,4.970282316207886e-05,0.9973687065972222,False,False
101,red_minus_blue_proxy,-1,random,19,-0.0444607138633728,0.12104462087154388,0.041902095079422,0.0009029023349285126,0.9975314670138888,False,False
101,red_minus_blue_proxy,1,gcia_proxy,-1,2.079164505004883,4.172325134277344e-07,0.018845945596694946,0.006996601819992065,0.9966362847222222,True,False
