patient,seed,fraction,method,repeat,predicted_class_drop
102,37,0.05,random,0,0.006856020539999008
102,37,0.05,random,1,0.015368299558758736
102,37,0.05,random,2,0.001959078013896942
102,37,0.05,random,3,0.00761820562183857
102,37,0.05,random,4,0.017601842060685158
102,37,0.05,random,5,0.018156977370381355
102,37,0.05,random,6,0.005422379821538925
102,37,0.05,random,7,0.0018611997365951538
102,37,0.05,random,8,0.0037023480981588364
102,37,0.05,random,9,0.013712184503674507
102,37,0.05,random,10,0.006525140255689621
102,37,0.05,random,11,-0.00020240992307662964
102,37,0.05,random,12,0.0005456842482089996
102,37,0.05,random,13,0.009978273883461952
102,37,0.05,random,14,0.009125703945755959
102,37,0.05,random,15,0.0036935340613126755
102,37,0.05,random,16,0.0054237209260463715
102,37,0.05,random,17,0.009476067498326302
102,37,0.05,random,18,-0.004069410264492035
102,37,0.05,random,19,0.03242211602628231
102,37,0.1,gnnexplainer,-1,0.0809043850749731
102,37,0.1,random,0,0.006353486329317093
102,37,0.1,random,1,0.026935579255223274
102,37,0.1,random,2,0.006357904523611069
102,37,0.1,random,3,0.0028730295598506927
102,37,0.1,random,4,0.01335994340479374
102,37,0.1,random,5,0.023755809292197227
102,37,0.1,random,6,0.019406931474804878
102,37,0.1,random,7,0.002035662531852722
102,37,0.1,random,8,0.025886839255690575
102,37,0.1,random,9,0.012593870982527733
102,37,0.1,random,10,0.02623560093343258
102,37,0.1,random,11,0.02074342407286167
102,37,0.1,random,12,0.020282885059714317
102,37,0.1,random,13,0.020392896607518196
102,37,0.1,random,14,0.016334975138306618
102,37,0.1,random,15,0.010373944416642189
102,37,0.1,random,16,0.002676021307706833
102,37,0.1,random,17,-0.0006076060235500336
102,37,0.1,random,18,0.03901432268321514
102,37,0.1,random,19,0.01795591600239277
102,37,0.2,gnnexplainer,-1,0.23331939242780209
102,37,0.2,random,0,0.031247468665242195
102,37,0.2,random,1,0.02371438778936863
102,37,0.2,random,2,0.005755728110671043
102,37,0.2,random,3,0.04695547930896282
102,37,0.2,random,4,0.047334520146250725
102,37,0.2,random,5,0.02456093393266201
102,37,0.2,random,6,0.008559858426451683
102,37,0.2,random,7,0.03177969343960285
102,37,0.2,random,8,0.03782934136688709
102,37,0.2,random,9,0.035655202344059944
102,37,0.2,random,10,0.03528525494039059
102,37,0.2,random,11,0.03664434142410755
102,37,0.2,random,12,0.05802851729094982
102,37,0.2,random,13,0.008831487968564034
102,37,0.2,random,14,0.006099855527281761
102,37,0.2,random,15,0.011746259406208992
102,37,0.2,random,16,0.0014581438153982162
102,37,0.2,random,17,0.004888158291578293
102,37,0.2,random,18,0.04520886950194836
102,37,0.2,random,19,0.048139920458197594
106,11,0.05,gnnexplainer,-1,0.012666198424994946
106,11,0.05,random,0,0.0031992075964808464
106,11,0.05,random,1,0.0079890051856637
106,11,0.05,random,2,0.006701773963868618
106,11,0.05,random,3,-0.0005473755300045013
106,11,0.05,random,4,0.005254973657429218
106,11,0.05,random,5,0.002893798053264618
106,11,0.05,random,6,0.0005091503262519836
106,11,0.05,random,7,0.0021284492686390877
106,11,0.05,random,8,0.009493294171988964
106,11,0.05,random,9,0.004904505796730518
106,11,0.05,random,10,0.006176087073981762
106,11,0.05,random,11,0.0014413902536034584
106,11,0.05,random,12,0.0012625288218259811
106,11,0.05,random,13,-0.002460646443068981
106,11,0.05,random,14,0.0037580756470561028
106,11,0.05,random,15,0.0016936594620347023
106,11,0.05,random,16,0.0015282277017831802
106,11,0.05,random,17,0.00764594879001379
106,11,0.05,random,18,0.000720808282494545
106,11,0.05,random,19,0.0027051400393247604
