architecture,seed,concept,layer,test_patient,train_patients,mse,shuffled_mse,constant_mse
GCN,11,stroma,0,TCGA-A2-A04P,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.12425427365083988,0.14875409624656177,0.1343552139153723
GCN,11,stroma,1,TCGA-A2-A04P,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.1504519824433177,0.15539672033992272,0.1343552139153723
GCN,11,stroma,2,TCGA-A2-A04P,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.16420876906570928,0.1626703816113431,0.1343552139153723
GCN,11,stroma,0,TCGA-A2-A04Q,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04T|TCGA-A2-A0CM,0.0304609314183413,0.09297829026904783,0.05419222413488914
GCN,11,stroma,1,TCGA-A2-A04Q,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04T|TCGA-A2-A0CM,0.06812858270927971,0.1064735795969111,0.05419222413488914
GCN,11,stroma,2,TCGA-A2-A04Q,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04T|TCGA-A2-A0CM,0.07975067889651014,0.09782741689886848,0.05419222413488914
GCN,11,stroma,0,TCGA-A2-A04T,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A0CM,0.06433852571211401,0.0575746473712064,0.05807617675859528
GCN,11,stroma,1,TCGA-A2-A04T,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A0CM,0.054989960176381913,0.06055089438883457,0.05807617675859528
GCN,11,stroma,2,TCGA-A2-A04T,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A0CM,0.06381443011113876,0.061778972436125124,0.05807617675859528
GCN,11,stroma,0,TCGA-A2-A0CM,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T,0.09391180960580993,0.07988532405182878,0.07509517365036285
GCN,11,stroma,1,TCGA-A2-A0CM,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T,0.08575784728843977,0.08324308183283213,0.07509517365036285
GCN,11,stroma,2,TCGA-A2-A0CM,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T,0.0878748336316389,0.08228827869364302,0.07509517365036285
GCN,11,lymphocytic_infiltrate,0,TCGA-A1-A0SK,TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.10856994225805841,0.07250482019601288,0.02804965705300753
GCN,11,lymphocytic_infiltrate,1,TCGA-A1-A0SK,TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.032950820853809626,0.01964661518419958,0.02804965705300753
GCN,11,lymphocytic_infiltrate,2,TCGA-A1-A0SK,TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.03736386889271853,0.025834644650059402,0.02804965705300753
GCN,11,lymphocytic_infiltrate,0,TCGA-A1-A0SP,TCGA-A1-A0SK|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.15002748395423743,0.1321536482095876,0.03371289920742107
GCN,11,lymphocytic_infiltrate,1,TCGA-A1-A0SP,TCGA-A1-A0SK|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.01857778300622008,0.017546788785766033,0.03371289920742107
GCN,11,lymphocytic_infiltrate,2,TCGA-A1-A0SP,TCGA-A1-A0SK|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.01995824989739721,0.021181911687448943,0.03371289920742107
GCN,11,lymphocytic_infiltrate,0,TCGA-A2-A04P,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.07641041421643308,0.07112698285899322,0.042042623833166426
GCN,11,lymphocytic_infiltrate,1,TCGA-A2-A04P,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.09515708665789196,0.09834577371736815,0.042042623833166426
GCN,11,lymphocytic_infiltrate,2,TCGA-A2-A04P,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.0907743759052149,0.09123575625082873,0.042042623833166426
