cluster,nom_concept_propose,definition_visuelle,coherence_1_a_5,confiance_1_a_5,contre_exemples,groupe_heterogene_oui_non,fusion_ou_scission_a_envisager,commentaires,evaluateur,date
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
