patient,arm,repeat,edges_deleted,components_before,components_after,probability_IC_change,probe_tumor_change,probe_stroma_change,probe_lymphocytic_infiltrate_change,observed_tissue_fractions_change,histological_realism_validated
TCGA-A1-A0SP,target,-1,4,1,1,-0.0015887618064880371,-0.0015836358070373535,0.0017962157726287842,0.0014061182737350464,0,False
TCGA-A1-A0SP,random,0,4,1,1,0.0023297667503356934,0.000197678804397583,-0.0014632642269134521,-0.0001299530267715454,0,False
TCGA-A1-A0SP,random,1,4,1,1,0.0025319457054138184,-0.0028282105922698975,0.0030609220266342163,0.0002531707286834717,0,False
TCGA-A1-A0SP,random,2,4,1,1,-0.008721411228179932,-0.004647493362426758,0.0010031312704086304,0.005519211292266846,0,False
TCGA-A1-A0SP,random,3,4,1,1,-0.006155729293823242,-0.000979989767074585,-0.004938796162605286,0.005479291081428528,0,False
TCGA-A1-A0SP,random,4,4,1,1,-0.002421081066131592,-0.002904951572418213,0.0010421276092529297,0.0013812333345413208,0,False
TCGA-A1-A0SP,random,5,4,1,1,0.0006256699562072754,0.0006639361381530762,-0.0024133771657943726,0.0010150372982025146,0,False
TCGA-A1-A0SP,random,6,4,1,1,-0.0019690394401550293,-0.001935124397277832,0.0005752444267272949,-4.3764710426330566e-05,0,False
TCGA-A1-A0SP,random,7,4,1,1,-0.0013997554779052734,-0.0012405812740325928,-5.4836273193359375e-05,0.0009385794401168823,0,False
TCGA-A1-A0SP,random,8,4,1,1,-0.0004055500030517578,0.0009951591491699219,0.0037919580936431885,-0.0010973364114761353,0,False
TCGA-A1-A0SP,random,9,4,1,1,0.0012281537055969238,0.0007024109363555908,-0.0004474371671676636,0.0017063915729522705,0,False
TCGA-A1-A0SP,random,10,4,1,1,0.0007725358009338379,0.0019447803497314453,-0.0004437863826751709,-0.000568881630897522,0,False
TCGA-A1-A0SP,random,11,4,1,1,0.0022353529930114746,-0.0002579987049102783,-0.00012421607971191406,-0.0008520334959030151,0,False
TCGA-A1-A0SP,random,12,4,1,1,0.0026686787605285645,-0.0002899169921875,0.0019031912088394165,-0.0014179050922393799,0,False
TCGA-A1-A0SP,random,13,4,1,1,-0.004036962985992432,0.001742631196975708,-0.002528265118598938,0.0019396543502807617,0,False
TCGA-A1-A0SP,random,14,4,1,1,-0.003970205783843994,-0.0016010105609893799,-0.0010112971067428589,0.0016509294509887695,0,False
TCGA-A1-A0SP,random,15,4,1,1,-0.0009909272193908691,-0.00015014410018920898,-0.0019790679216384888,-0.0006132125854492188,0,False
TCGA-A1-A0SP,random,16,4,1,1,-0.003679513931274414,-0.0007585287094116211,-0.0010135620832443237,-0.0013830065727233887,0,False
TCGA-A1-A0SP,random,17,4,1,1,-0.008128345012664795,-0.0032954514026641846,-0.0029441863298416138,0.004392653703689575,0,False
TCGA-A1-A0SP,random,18,4,1,1,0.004946410655975342,0.0018014609813690186,0.0020270198583602905,-0.0017919093370437622,0,False
TCGA-A1-A0SP,random,19,4,1,1,-0.0034973621368408203,0.0012177824974060059,-0.002337038516998291,0.0011445730924606323,0,False
TCGA-A2-A04P,target,-1,4,1,1,-0.0009560585021972656,-0.0007019639015197754,0.0008829236030578613,-0.0005687903612852097,0,False
TCGA-A2-A04P,random,0,4,1,1,-0.004061579704284668,0.00013828277587890625,-0.0006087720394134521,-0.0007359273731708527,0,False
TCGA-A2-A04P,random,1,4,1,1,-0.001896977424621582,-0.0028037428855895996,-0.0003120303153991699,0.0008530635386705399,0,False
TCGA-A2-A04P,random,2,4,1,1,-2.4378299713134766e-05,0.0003809630870819092,-0.0009585320949554443,9.080953896045685e-05,0,False
TCGA-A2-A04P,random,3,4,1,1,-0.0015152692794799805,-0.000941842794418335,0.0023920536041259766,-0.0008541420102119446,0,False
TCGA-A2-A04P,random,4,4,1,1,0.0021063685417175293,-0.002094358205795288,0.003673940896987915,0.0010751057416200638,0,False
TCGA-A2-A04P,random,5,4,1,1,0.0019469261169433594,-0.000715792179107666,-9.414553642272949e-05,2.2396445274353027e-05,0,False
TCGA-A2-A04P,random,6,4,1,1,0.002053380012512207,-0.0018275976181030273,-0.002591341733932495,0.0028313100337982178,0,False
TCGA-A2-A04P,random,7,4,1,1,0.0014035701751708984,-0.002744346857070923,-0.0001233518123626709,0.0017187278717756271,0,False
TCGA-A2-A04P,random,8,4,1,1,-0.0029006004333496094,-0.0037261247634887695,-0.0015783607959747314,-0.0015029404312372208,0,False
TCGA-A2-A04P,random,9,4,1,1,-0.004147529602050781,0.00013831257820129395,0.0016650557518005371,0.0007265973836183548,0,False
TCGA-A2-A04P,random,10,4,1,1,0.002400517463684082,-0.001444309949874878,-0.0006875991821289062,0.0034231282770633698,0,False
TCGA-A2-A04P,random,11,4,1,1,0.0016158819198608398,-0.0002605617046356201,-0.0016522109508514404,0.000561082735657692,0,False
TCGA-A2-A04P,random,12,4,1,1,0.0034946203231811523,-0.0009467601776123047,0.0007541477680206299,0.0019849538803100586,0,False
TCGA-A2-A04P,random,13,4,1,1,0.0007519721984863281,-0.0011394917964935303,0.0001043081283569336,0.0006651636213064194,0,False
TCGA-A2-A04P,random,14,4,1,1,-0.0042607784271240234,-0.0010089278221130371,-0.0007099509239196777,-0.00021173246204853058,0,False
TCGA-A2-A04P,random,15,4,1,1,-0.0009664297103881836,-0.0016768872737884521,0.001614391803741455,0.0006440170109272003,0,False
TCGA-A2-A04P,random,16,4,1,1,-0.0005367398262023926,-0.0002727508544921875,0.00019401311874389648,-0.0012709759175777435,0,False
TCGA-A2-A04P,random,17,4,1,1,-0.005740225315093994,-0.0028437674045562744,0.00037974119186401367,-0.0017650891095399857,0,False
TCGA-A2-A04P,random,18,4,1,1,-0.003245115280151367,-0.0038554370403289795,-2.7060508728027344e-05,0.0008656494319438934,0,False
TCGA-A2-A04P,random,19,4,1,1,-0.0022058486938476562,-0.002215951681137085,-0.00022423267364501953,0.0008704960346221924,0,False
TCGA-A2-A04T,target,-1,5,1,1,0.00012046098709106445,-0.0015935301780700684,0.001024395227432251,0.000345572829246521,0,False
TCGA-A2-A04T,random,0,5,1,1,-0.000588536262512207,-0.001378774642944336,-0.001657232642173767,0.00114436075091362,0,False
TCGA-A2-A04T,random,1,5,1,1,0.0004889965057373047,-0.0018389225006103516,0.0006366968154907227,-0.0008486509323120117,0,False
TCGA-A2-A04T,random,2,5,1,1,2.3424625396728516e-05,-0.0019968152046203613,0.00228920578956604,3.7223100662231445e-05,0,False
TCGA-A2-A04T,random,3,5,1,1,0.0004087686538696289,0.0002517104148864746,-0.0009264051914215088,-0.0008709020912647247,0,False
TCGA-A2-A04T,random,4,5,1,1,0.0003916025161743164,-0.00034677982330322266,0.0010378658771514893,2.4098902940750122e-05,0,False
TCGA-A2-A04T,random,5,5,1,1,0.0003631711006164551,-0.0025275349617004395,0.0017291903495788574,-0.0003333240747451782,0,False
TCGA-A2-A04T,random,6,5,1,1,-0.0005432963371276855,-0.002064943313598633,-0.00016501545906066895,0.0002729557454586029,0,False
TCGA-A2-A04T,random,7,5,1,1,-0.0004583597183227539,-0.00233381986618042,0.0015647411346435547,0.0014178194105625153,0,False
TCGA-A2-A04T,random,8,5,1,1,-0.000657200813293457,-0.0019777417182922363,0.0013163983821868896,1.2375414371490479e-05,0,False
TCGA-A2-A04T,random,9,5,1,1,0.0001914501190185547,0.00024569034576416016,0.0028721988201141357,-0.0010158233344554901,0,False
TCGA-A2-A04T,random,10,5,1,1,-0.00018131732940673828,0.0015450716018676758,0.0005927085876464844,-0.0009643994271755219,0,False
TCGA-A2-A04T,random,11,5,1,1,0.00020581483840942383,-0.0006229281425476074,-0.0003419220447540283,0.0014701150357723236,0,False
TCGA-A2-A04T,random,12,5,1,1,-0.0003909468650817871,0.00036346912384033203,-0.0010389089584350586,0.001073583960533142,0,False
TCGA-A2-A04T,random,13,5,1,1,-0.00022643804550170898,0.0005379915237426758,0.00017198920249938965,-0.0010473132133483887,0,False
TCGA-A2-A04T,random,14,5,1,1,0.0006909966468811035,0.0014203786849975586,0.0006576478481292725,-0.0020771436393260956,0,False
TCGA-A2-A04T,random,15,5,1,1,-0.00034427642822265625,-0.001758873462677002,-0.0010110735893249512,0.001959376037120819,0,False
TCGA-A2-A04T,random,16,5,1,1,-0.0005638003349304199,-0.001329958438873291,-0.0015141665935516357,0.00042061880230903625,0,False
TCGA-A2-A04T,random,17,5,1,1,0.0005565285682678223,-0.0006977319717407227,-0.0010837316513061523,-0.00016317516565322876,0,False
TCGA-A2-A04T,random,18,5,1,1,-0.0010437369346618652,0.0008126497268676758,0.0032303333282470703,0.0005822032690048218,0,False
TCGA-A2-A04T,random,19,5,1,1,-0.00015652179718017578,-0.00038683414459228516,9.962916374206543e-05,0.000963013619184494,0,False
TCGA-A2-A0CM,target,-1,5,1,1,1.3709068298339844e-05,-0.00256192684173584,0.0030623674392700195,0.0006971359252929688,0,False
TCGA-A2-A0CM,random,0,5,1,1,1.5497207641601562e-06,-0.0014569759368896484,-2.866983413696289e-05,0.00042340904474258423,0,False
TCGA-A2-A0CM,random,1,5,1,1,-1.1265277862548828e-05,0.0005162954330444336,0.0008215606212615967,-0.0010455548763275146,0,False
TCGA-A2-A0CM,random,2,5,1,1,-7.152557373046875e-06,-0.002761542797088623,0.002656996250152588,-0.0007871314883232117,0,False
TCGA-A2-A0CM,random,3,5,1,1,-8.64267349243164e-06,-0.004942953586578369,0.004373103380203247,-0.0006962940096855164,0,False
TCGA-A2-A0CM,random,4,5,1,1,-5.364418029785156e-07,0.0014571547508239746,-0.003314465284347534,0.0013946667313575745,0,False
TCGA-A2-A0CM,random,5,5,1,1,5.424022674560547e-06,0.0003981590270996094,-0.0028724074363708496,-0.0001133456826210022,0,False
TCGA-A2-A0CM,random,6,5,1,1,6.139278411865234e-06,-0.0010268688201904297,-0.0007408857345581055,0.001159384846687317,0,False
TCGA-A2-A0CM,random,7,5,1,1,1.3947486877441406e-05,0.0015943646430969238,-0.00037091970443725586,-0.002910315990447998,0,False
TCGA-A2-A0CM,random,8,5,1,1,1.1444091796875e-05,-0.0003185272216796875,0.0007199645042419434,0.0007711127400398254,0,False
TCGA-A2-A0CM,random,9,5,1,1,-8.463859558105469e-06,0.0009456276893615723,-0.0015662610530853271,-0.0010819509625434875,0,False
TCGA-A2-A0CM,random,10,5,1,1,1.6868114471435547e-05,-0.0008424520492553711,-0.0009828507900238037,-0.0004321485757827759,0,False
TCGA-A2-A0CM,random,11,5,1,1,-8.821487426757812e-06,-0.005538046360015869,-0.001016765832901001,0.0029561519622802734,0,False
TCGA-A2-A0CM,random,12,5,1,1,-1.537799835205078e-05,-0.0077190399169921875,0.0024716854095458984,0.0013772398233413696,0,False
TCGA-A2-A0CM,random,13,5,1,1,1.7881393432617188e-06,-8.910894393920898e-05,0.0003955364227294922,-0.00036115944385528564,0,False
TCGA-A2-A0CM,random,14,5,1,1,6.198883056640625e-06,-0.0007290244102478027,7.891654968261719e-05,4.4018030166625977e-05,0,False
TCGA-A2-A0CM,random,15,5,1,1,1.1920928955078125e-06,-0.0011203885078430176,0.00016707181930541992,-0.0005722939968109131,0,False
TCGA-A2-A0CM,random,16,5,1,1,-5.841255187988281e-06,-0.0004076361656188965,-0.0005384683609008789,0.0002049580216407776,0,False
TCGA-A2-A0CM,random,17,5,1,1,0.0,7.50422477722168e-05,-0.0032143592834472656,0.00125914067029953,0,False
TCGA-A2-A0CM,random,18,5,1,1,-1.6689300537109375e-06,-0.0015462040901184082,0.0007290840148925781,0.0008888840675354004,0,False
TCGA-A2-A0CM,random,19,5,1,1,7.331371307373047e-06,0.002984285354614258,-0.0037292540073394775,-0.0008953213691711426,0,False
TCGA-A2-A0D0,target,-1,5,1,1,1.4901161193847656e-06,-0.00020673871040344238,-0.00025719404220581055,-0.00041100382804870605,0,False
TCGA-A2-A0D0,random,0,5,1,1,-0.0005222558975219727,4.1857361793518066e-05,-0.00012072920799255371,4.0650367736816406e-05,0,False
TCGA-A2-A0D0,random,1,5,1,1,-0.0003656744956970215,-8.308887481689453e-05,-0.0003441274166107178,3.0249357223510742e-05,0,False
TCGA-A2-A0D0,random,2,5,1,1,-0.0003179311752319336,-0.00018838047981262207,5.2928924560546875e-05,-4.357099533081055e-05,0,False
TCGA-A2-A0D0,random,3,5,1,1,-0.0003578662872314453,-0.00042045116424560547,7.840991020202637e-05,-0.00018271803855895996,0,False
TCGA-A2-A0D0,random,4,5,1,1,-0.00010389089584350586,0.0001620948314666748,0.0002522766590118408,-0.0003317892551422119,0,False
TCGA-A2-A0D0,random,5,5,1,1,-0.0002034902572631836,-0.00016495585441589355,-9.766221046447754e-05,-4.07099723815918e-05,0,False
TCGA-A2-A0D0,random,6,5,1,1,2.4437904357910156e-06,-3.203749656677246e-05,0.0003286302089691162,-0.00012111663818359375,0,False
TCGA-A2-A0D0,random,7,5,1,1,-0.00020051002502441406,-0.00018391013145446777,-0.0002874433994293213,-1.0401010513305664e-05,0,False
TCGA-A2-A0D0,random,8,5,1,1,-8.416175842285156e-05,-0.00019498169422149658,0.00023472309112548828,3.6954879760742188e-06,0,False
TCGA-A2-A0D0,random,9,5,1,1,0.0002574920654296875,0.00021976232528686523,-8.180737495422363e-05,-0.00016602873802185059,0,False
TCGA-A2-A0D0,random,10,5,1,1,-0.00040978193283081055,-0.0003579556941986084,-5.2034854888916016e-05,0.0004089772701263428,0,False
TCGA-A2-A0D0,random,11,5,1,1,-0.0002167224884033203,-0.00026895105838775635,0.00021216273307800293,0.00011482834815979004,0,False
TCGA-A2-A0D0,random,12,5,1,1,8.559226989746094e-05,0.00038649141788482666,-2.104043960571289e-05,-0.0001499950885772705,0,False
TCGA-A2-A0D0,random,13,5,1,1,0.00017774105072021484,-0.00021916627883911133,-0.00047266483306884766,7.748603820800781e-06,0,False
TCGA-A2-A0D0,random,14,5,1,1,0.00029265880584716797,-3.980100154876709e-05,0.00039947032928466797,-0.00010028481483459473,0,False
TCGA-A2-A0D0,random,15,5,1,1,-0.0005571842193603516,-0.0002286285161972046,-0.00020614266395568848,2.345442771911621e-05,0,False
TCGA-A2-A0D0,random,16,5,1,1,0.0002206563949584961,-0.00025738775730133057,0.00017204880714416504,-2.86102294921875e-05,0,False
TCGA-A2-A0D0,random,17,5,1,1,2.6106834411621094e-05,0.00023066997528076172,6.136298179626465e-05,7.924437522888184e-05,0,False
TCGA-A2-A0D0,random,18,5,1,1,-0.00039446353912353516,-0.00039184093475341797,0.0001755356788635254,0.0001919567584991455,0,False
TCGA-A2-A0D0,random,19,5,1,1,-0.00023567676544189453,8.752942085266113e-05,-7.840991020202637e-05,-3.382563591003418e-05,0,False
